station_1,station_2,station_3,between_ratio,perimeter,delta,tau,cutoff,perimeter_norm,trips_between_norm,combined_between_ratio_distance,station1_name,station2_name,station3_name
M32005,C32020,M32070,0.0015267175572519084,10.96948968286835,4h,0,10,0.6716234650401265,0.9874426125375811,0.6631896289607653,MIT Stata Center at Vassar St / Main St,ID Building East,MIT Carleton St at Amherst St
B32004,C32029,M32042,0.0030379746835443038,11.49097905760528,4h,1,10,0.7050727501008613,0.9709737988350002,0.6846071666204742,Aquarium T Stop - 200 Atlantic Ave,W Broadway at D St,MIT Vassar St
D32006,C32029,M32042,0.010267857142857143,11.898310227789906,4h,1,10,0.7311997185218412,0.892186684953134,0.6523666529066662,Lewis Wharf at Atlantic Ave,W Broadway at D St,MIT Vassar St
D32006,C32057,M32042,0.004377431906614786,10.280283951450107,4h,1,10,0.6274165452206564,0.9563771619784762,0.6000468548964716,Lewis Wharf at Atlantic Ave,Harrison Ave at Mullins Way,MIT Vassar St
M32005,B32004,C32029,0.002304147465437788,9.871984063055905,4h,1,10,0.6012274414367998,0.9789706271275678,0.588584005389687,MIT Stata Center at Vassar St / Main St,Aquarium T Stop - 200 Atlantic Ave,W Broadway at D St
C32034,C32057,M32042,0.003244997295835587,9.950754182365818,4h,1,10,0.6062799013769368,0.9687177850999906,0.587314123212507,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harrison Ave at Mullins Way,MIT Vassar St
C32036,M32042,B32007,0.003200731595793324,9.874035080259418,4h,2,10,0.6013589974424028,0.9692001673198838,0.5828372409404944,Seaport Blvd at Sleeper St,MIT Vassar St,Seaport Square - Seaport Blvd at Northern Ave
M32042,B32007,D32024,0.004885197850512946,9.874894920409307,4h,2,10,0.6014141491668168,0.9508438198429195,0.5718509269013555,MIT Vassar St,Seaport Square - Seaport Blvd at Northern Ave,Beacon St at Charles St
A32010,M32042,B32007,0.009274193548387096,9.8352237672419,4h,2,10,0.5988695686340799,0.9030150611014811,0.5407882401119213,South Station - 700 Atlantic Ave,MIT Vassar St,Seaport Square - Seaport Blvd at Northern Ave
M32042,B32004,B32007,0.016595289079229122,10.461241774875713,4h,2,10,0.6390235119451206,0.8232339594619263,0.5260658559278473,MIT Vassar St,Aquarium T Stop - 200 Atlantic Ave,Seaport Square - Seaport Blvd at Northern Ave
M32042,B32004,D32024,0.0050025012506253125,8.899169360236568,4h,2,10,0.5388293219692784,0.9495655146428843,0.5116537424204342,MIT Vassar St,Aquarium T Stop - 200 Atlantic Ave,Beacon St at Charles St
